,Unnamed: 0,Event Title,Organizer,Artists,Location,Venue Name,Venue Link,Heure,Date,Price,Event Link,Genres
186,186,LE PLUS GRAND REVEILLON DE FRANCE + 2500 PERSONNES AU BRIDGE,BK PRODUCTIONS,Paul-Kéranne,"3 Port des Champs-Élysées, 75008 Paris, France",Bridge Club,"https://www.google.com/maps/search/Bridge%20Club%2C%203%20Port%20des%20Champs-%C3%89lys%C3%A9es%2C%2075008%20Paris%2C%20France/@48.8640808,2.3121334,17z",22:00 à 05:00,2023-12-31,"40,95 €",https://shotgun.live/events/le-plus-grand-reveillon-de-france-2000-personnes-au-bridge,
187,187,NOUVEL AN au MOVIDA - NEW YEAR EVE at MOVIDA,MovidaClubParis,,"32 Av. Corentin Cariou, 75019 Paris, France",MOVIDA CLUB PARIS,"https://www.google.com/maps/search/MOVIDA%20CLUB%20PARIS%2C%2032%20Av.%20Corentin%20Cariou%2C%2075019%20Paris%2C%20France/@48.8972242,2.3857316,17z",22:00 à 05:00,2023-12-31,"21,00 €",https://shotgun.live/events/nouvel-an-au-movida-new-year-eve-at-movida,
188,188,Dimanche 31 Décembre - NEW YEAR EVE @ CRYSTAL PARIS,CLUB CRYSTAL PARIS,,"51 Rue de Ponthieu, 75008 Paris, France",Crystal Paris,"https://www.google.com/maps/search/Crystal%20Paris%2C%2051%20Rue%20de%20Ponthieu%2C%2075008%20Paris%2C%20France/@48.8713989,2.3058714,17z",22:00 à 07:00,2023-12-31,"52,50 €",https://shotgun.live/events/dimanche-31-decembre-new-year-eve,
189,189,NEW YEAR EVE @freshtouch,Stargazing Group,,"37 Av. de Friedland, 75008 Paris, France",Boum Boum,"https://www.google.com/maps/search/Boum%20Boum%2C%2037%20Av.%20de%20Friedland%2C%2075008%20Paris%2C%20France/@48.873977,2.29947,17z",23:00 à 06:00,2023-12-31,"73,50 €",https://shotgun.live/events/new-year-eve-freshtouch,"afrobeat, hip hop"
190,190,Mavs club Celeste mafia Nouvel an,mavs Club,,"17 Rte de Maison Rouge, 77310 Saint-Fargeau-Ponthierry, France",Maison Rouge,"https://www.google.com/maps/search/Maison%20Rouge%2C%2017%20Rte%20de%20Maison%20Rouge%2C%2077310%20Saint-Fargeau-Ponthierry%2C%20France/@48.5401121,2.5189102,17z",23:00 à 06:00,2023-12-31,"9,99 €",https://shotgun.live/events/mavs-club-celeste-mafia-nouvel-an,"rap, afro house, afrobeat, reggaeton, r&b"
191,191,New Year Party : Black & White,SEGUIN SOUND,,"1, Parvis de l'Île Seguin, 92100, Île Seguin, 92100 Boulogne-Billancourt, France",Seguin Sound,"https://www.google.com/maps/search/Seguin%20Sound%2C%201%2C%20Parvis%20de%20l'%C3%8Ele%20Seguin%2C%2092100%2C%20%C3%8Ele%20Seguin%2C%2092100%20Boulogne-Billancourt%2C%20France/@48.825235,2.2308999,17z",23:00 à 05:00,2023-12-31,"26,00 €",https://shotgun.live/events/new-year-party-black-white,"disco, hip hop, pop, dance, r&b"
192,192,La 31 DÉCEMBRE PARTY - Nouvel An,PartyEvents,,"46 Rue des Lombards, 75001 Paris, France",Hide Pub / Club Châtelet,"https://www.google.com/maps/search/Hide%20Pub%20%2F%20Club%20Ch%C3%A2telet%2C%2046%20Rue%20des%20Lombards%2C%2075001%20Paris%2C%20France/@48.8597702,2.3484195,17z",21:00 à 05:00,2023-12-31,"21,00 €",https://shotgun.live/events/la-31-decembre-party-nouvel-an,
193,193,SUPER NOUVEL AN - Réveillon Festif,PartyEvents,,"46 Rue des Lombards, 75001 Paris, France",O' Chupito Shots Bar,"https://www.google.com/maps/search/O'%20Chupito%20Shots%20Bar%2C%2046%20Rue%20des%20Lombards%2C%2075001%20Paris%2C%20France/@48.8597974,2.348424,17z",21:00 à 05:00,2023-12-31,"21,00 €",https://shotgun.live/events/super-nouvel-an-reveillon-festif,
194,194,AQUARIUM'S NEW YEAR TOUR EIFFEL 2024,Noctambuzz,Kmelone Djk,"54 Rue Jean-Baptiste Pigalle, 75009 Paris, France",Chez Moune,"https://www.google.com/maps/search/Chez%20Moune%2C%2054%20Rue%20Jean-Baptiste%20Pigalle%2C%2075009%20Paris%2C%20France/@48.8810495,2.3360343,17z",21:00 à 05:00,2023-12-31,"60,99 €",https://shotgun.live/events/aquarium-s-new-year-tour-eiffel-2024,"hip hop, house, electro, r&b, pop"
195,195,Réveillon ROOFTOP OXYGEN PARIS : Vue Feu d'Artifice,Noctambuzz,,"2 Espl. du Général de Gaulle, 92800 Courbevoie, France",Nodd Oxygen,"https://www.google.com/maps/search/Nodd%20Oxygen%2C%202%20Espl.%20du%20G%C3%A9n%C3%A9ral%20de%20Gaulle%2C%2092800%20Courbevoie%2C%20France/@48.8881017,2.2508976,17z",21:00 à 05:30,2023-12-31,"76,99 €",https://shotgun.live/events/reveillon-rooftop-oxygen-paris-vue-feu-d-artifice,"pop, hip hop, r&b, electro, house, disco"
